video_id,root_mean_velocity,root_mean_velocity_new,root_mean_acceleration,root_mean_acceleration_new,body_mean_angular_velocity,body_mean_angular_velocity_new,body_mean_angular_acceleration,body_mean_angular_acceleration_new
knitting_17_clip1,0.07382649367546541,0.0005409936,0.10951213675458264,0.00010250384,0.008973819695486962,0.0009217161344816011,0.006577420276445835,0.0005459728844658059
basketball_dribble_10_clip1,0.05051746682488116,0.05074482,0.004964777806373466,0.0012527773,0.10423848031274664,0.07564389434198725,0.04267600681584785,0.023283919563137686
ski_backflip_14_clip1,0.04079246562322524,0.0176101,0.013162926811602482,0.0023710104,0.07130947014418042,0.03463328601811687,0.07338653599931129,0.015998983437493987
unevenbar_spin_17_clip1,0.15876228885026403,0.0048318733,0.14906430487859518,0.00029999387,0.11035388768380126,0.008838235821984963,0.15997893095657334,0.0033969273692152657
pirouette_4_clip1,0.01383303338747303,0.013100373,0.008417079782757441,0.0013289914,0.05338319726865373,0.03898181088077444,0.0919575739753734,0.015731736277928954
ski_cork_12_clip1,0.04744258024916857,0.027582405,0.01870718998595489,0.0063625616,0.09884751602638521,0.038271075771465955,0.05881960442074285,0.021176391621989078
push_car_18_clip1,0.020859893852021985,0.028341096,0.0030830525148515244,0.0017252377,0.12060960550870013,0.09262111737645616,0.03632188854143183,0.024392414612880862
discuss_throw_18_clip1,0.029812100520929655,0.022495378,0.00899654201854948,0.0017496201,0.09550993053828602,0.07230130738385755,0.03437817486057062,0.021389979354613915
burpee_15_clip1,0.03375552664345912,0.032815054,0.010722022342629966,0.0061840187,0.08611383995797157,0.0761430904636261,0.03462408692153992,0.012647417575663912
hammer_throw_19_clip1,0.060956654177227516,0.018147117,0.01543737899802813,0.0035619389,0.08771767304668814,0.08452333645032829,0.027339998303919776,0.027732316143255473
weightlifting_overhead_5_clip1,0.09277448835073251,0.011831554,0.05441583220584113,0.0028364945,0.13218370694902543,0.02679845019229061,0.12683758324224495,0.008480631582569544
shuffle_dance_5_clip1,0.02833233676654933,0.032272577,0.009282787455332425,0.007343595,0.09864011901116765,0.11197325201822973,0.03129976201039423,0.04201008277454065
shuffle_dance_10_clip1,0.019933357209845664,0.009871776,0.009027220979043911,0.0014251879,0.09898410066966919,0.08061372389208045,0.03415691046776752,0.027904100796368195
javelin_run_15_clip1,0.02925564310144228,0.032906875,0.008370567406249918,0.00087157264,0.042766042298406776,0.038659946921779036,0.07514157301869703,0.01217466914698133
bandaging_14_clip1,0.07428374738708761,0.00401338,0.0684412770103433,0.002675112,0.06457928437022181,0.0035757056224388515,0.03492449122994134,0.002629855816625141
horizontalbar_spin_23_clip1,0.12642325222235196,0.01439194,0.01351916083219773,0.002017139,0.08612025787498359,0.048529796985752584,0.06047963449523957,0.022803971488637064
gangnam_style_dance_18_clip1,0.018736728691620314,0.024984201,0.008797052700686068,0.009399011,0.08519137104419154,0.07240540245811447,0.04481042647795025,0.024797493545074323
ski_frontflip_18_clip1,0.021889789094213612,0.019619783,0.007283925070895665,0.0012662121,0.09773189454245135,0.0259293410101876,0.1450817459212298,0.01373276827007098
push_car_6_clip1,0.04546556628019754,0.027494725,0.019337504748252462,0.004057512,0.11266827110990552,0.11510910869797106,0.04866378547741213,0.0410480227076657
unevenbar_spin_9_clip1,0.09739663480087184,0.01949176,0.030730929024364886,0.0032506774,0.16999661990884252,0.07283731410518078,0.08212464091399231,0.027639439971512157
climbing_rope_1_clip1,0.029337684391758517,0.018755095,0.007306891400081131,0.0041313805,0.08705367834209216,0.042359124221550915,0.050327925199240446,0.011284619239991923
burpee_18_clip1,0.0530890529046209,0.029903248,0.03585663004696805,0.005069349,0.1134230574065498,0.05796645111857315,0.0891412012473248,0.011812861182645549
flamethrower_4_clip1,0.10985778902922788,0.009814001,0.08073569033441423,0.0009045495,0.06051404448880036,0.01993877043694543,0.05286819128739565,0.005914778179587793
rescue_breathing_14_clip1,0.09899475755676372,0.0027166116,0.07405169719338667,0.00030614773,0.07723470263647501,0.0036714095376867723,0.05035062677832094,0.0015712461994546627
shoe_shining_5_clip1,0.058658011043094246,0.0028006774,0.0492339978766012,0.0016557984,0.16665479674073783,0.005000465878947603,0.19253302767321026,0.002906669063355152
shuffle_dance_8_clip1,0.01550367718706384,0.02187314,0.004140817064912763,0.0043990486,0.09686428714918881,0.08650829912339127,0.02770740391223448,0.02327051915331223
rescue_breathing_2_clip1,0.03614179532585435,0.00820131,0.035839139278048576,0.007059833,0.05163499696784884,0.022175974149880786,0.06482813763252765,0.010916357712530774
push_car_9_clip1,0.014947960385201759,0.021089057,0.006816579994695086,0.0017628884,0.07194079749964909,0.07176389197457238,0.06154481323394815,0.02514024054118694
